User_ID,Device_Type,Device_ID
USER_1834,Laptop,1
USER_7875,Mobile,2
USER_2734,Tablet,3
USER_2617,Tablet,4
USER_2014,Mobile,5
USER_6852,Laptop,6
USER_5052,Tablet,7
USER_4660,Tablet,8
USER_1584,Tablet,9
USER_9498,Mobile,10
USER_2848,Laptop,11
USER_6860,Laptop,12
USER_6728,Laptop,13
USER_6655,Mobile,14
USER_7651,Tablet,15
USER_1248,Laptop,16
USER_9349,Tablet,17
USER_9413,Laptop,18
USER_5861,Tablet,19
USER_5939,Tablet,20
USER_5566,Mobile,21
USER_4615,Mobile,22
USER_3832,Tablet,23
USER_9751,Mobile,24
USER_9775,Mobile,25
USER_6725,Mobile,26
USER_3085,Tablet,27
USER_7987,Tablet,28
USER_1116,Laptop,29
USER_8088,Laptop,30
USER_4147,Mobile,31
USER_7419,Laptop,32
USER_7666,Mobile,33
USER_5135,Mobile,34
USER_8041,Laptop,35
USER_2155,Laptop,36
USER_5843,Laptop,37
USER_2756,Tablet,38
USER_4265,Laptop,39
USER_7471,Tablet,40
USER_8456,Mobile,41
USER_5964,Tablet,42
USER_8631,Tablet,43
USER_3125,Mobile,44
USER_8150,Mobile,45
USER_8968,Mobile,46
USER_6129,Tablet,47
USER_6910,Mobile,48
USER_6333,Mobile,49
USER_4369,Tablet,50
USER_5004,Mobile,51
USER_1299,Mobile,52
USER_5589,Tablet,53
USER_4320,Mobile,54
USER_7970,Laptop,55
USER_7335,Mobile,56
USER_1353,Tablet,57
USER_7190,Tablet,58
USER_9641,Laptop,59
USER_7599,Mobile,60
USER_1490,Tablet,61
USER_9717,Mobile,62
USER_3789,Mobile,63
USER_3467,Laptop,64
USER_1329,Laptop,65
USER_4932,Tablet,66
USER_5318,Mobile,67
USER_7101,Mobile,68
USER_7646,Mobile,69
USER_8482,Laptop,70
USER_6828,Tablet,71
USER_3415,Mobile,72
USER_1296,Tablet,73
USER_8825,Mobile,74
USER_2051,Mobile,75
USER_9409,Mobile,76
USER_5520,Laptop,77
USER_2517,Laptop,78
USER_2084,Laptop,79
USER_5180,Tablet,80
USER_6874,Laptop,81
USER_3288,Tablet,82
USER_2399,Mobile,83
USER_3739,Tablet,84
USER_5231,Mobile,85
USER_1970,Tablet,86
USER_1362,Mobile,87
USER_7002,Tablet,88
USER_6333,Tablet,89
USER_2927,Mobile,90
USER_4250,Laptop,91
USER_1586,Laptop,92
USER_9555,Tablet,93
USER_9814,Mobile,94
USER_9781,Tablet,95
USER_5143,Tablet,96
USER_6868,Mobile,97
USER_8955,Mobile,98
USER_9104,Tablet,99
